Nome,Preço_Sócio,Preço_Normal,Pontuação,Avaliações
Château de La Rivière A.O.C. Fronsac 2006,171.9,202.24,5.0,1
Altos de José Ignacio Reserva Tannat 2017,48.54,57.11,4.5,14
Periquita Tinto 2017,54.9,64.59,,
Pueblo del Sol Crianza en Roble Petit Verdot 2017,44.07,51.85,3.5,50
Tenuta SantAntonio Valpolicella Superiore Ripasso Monti Garbi 2015,109.16,128.42,3.0,6
Viña Carrasco Chardonnay 2018,24.58,28.92,,
Quinta do Cardo D.O.C. Beira Interior Síria Branco 2017,56.4,66.35,4.5,6
Sovento Chardonnay 2018,28.2,33.18,3.5,7
Sovento Merlot 2018,28.2,33.18,4.5,2
Sovento Syrah 2018,28.2,33.18,2.0,3
Viñedo de Los Vientos Catarsis 2016,50.68,59.62,3.0,21
WineBox China,203.27,239.14,,
Dark Horse Pinot Grigio Lata 375ml,24.9,29.29,4.5,6
Dark Horse Rosé Lata 375ml,24.9,29.29,5.0,5
Cloudy Bay Pinot Noir 2014,339.18,399.04,,
Marianne Selena Pinotage 2016,61.9,72.82,4.0,15
WineBox O Grande Encontro,210.8,248.0,,
Turning Leaf Merlot,37.14,43.69,3.5,69
Calyptra Vivendo Reserve Rosé 2017,54.33,63.92,4.0,5
Espumante Don Juan,53.47,62.9,4.5,24
Defesa do Esporão Rosé 2016,44.38,52.21,3.5,10
Navegar Sin Mar Cabernet Sauvignon 2019,23.62,27.78,3.5,10
Seremos Torrontés 2019,33.92,39.9,4.0,19
JP Azeitão Seleção do Enólogo Syrah Rosé 2018,44.97,52.9,4.5,21
Pera Doce RA 2018,46.67,54.9,4.0,11
WineBox Miguel Torres Hemisfério Sur,133.9,157.53,,
JP Azeitão Seleção do Enólogo Moscatel Graúdo Fernão Pires 2018,44.97,52.9,4.0,39
Almaviva 2016,1317.5,1550.0,,
Bonne Esperance Red,29.17,34.32,3.0,7
Bouquet Cabernet Sauvignon 2018,32.18,37.86,4.5,7
Miguel Torres Hemisferio Sur Reserva Cabernet Sauvignon 2016,35.22,41.44,3.5,30
La Combe D´Or Merlot 2018,33.22,39.08,3.5,2
Pérez Cruz Limited Edition D.O. Valle del Maipo Cabernet Franc 2016,89.9,105.76,4.0,5
Pérez Cruz Limited Edition Syrah 2017,89.9,105.76,,
Casas Brancas Selection Branco 2018,30.94,36.4,3.5,15
Tokaji Pajzos Aszú 6 Puttonyos 2013 500 ml,347.9,409.29,,
Louis M. Martini Sonoma County Cabernet Sauvignon 2015,107.95,127.0,4.0,3
Ghost Pines Winemakers Blend Cabernet Sauvignon 2016,118.92,139.9,3.0,1
Espumante Toro Loco D.O. Cava Brut,44.45,52.29,4.0,282
Praça dos Marqueses Escolha I.G. Beira Atlântico 2018,27.86,32.78,4.0,329
Artefacto Rose 2018,59.42,69.9,4.5,3
Urmeneta Cabernet Sauvignon 2019,26.33,30.98,,
Carnivor Cabernet Sauvignon 2016,94.89,111.64,4.5,20
Celebração Inesquecível,100.38,118.09,5.0,1
Tradição 2017,30.95,36.41,4.5,10
Fortant de France Reserve des Grands Monts Carignan 2014,95.55,112.41,,
Mediterráneo 2017,107.51,126.49,,
WineBox Viñedo De Los Vientos Tannat,178.98,210.56,,
Enclos du Wine Hunter Bordeaux Supérieur 2018,83.53,98.27,4.5,72
Palafitos de Mar Semi Sweet Carmenére 2018,28.1,33.05,4.5,10
WineBox Lançamentos 8,109.9,129.29,,
WineBox Família,180.0,211.77,,
Antigal Uno Cabernet Sauvignon 2015,67.07,78.9,2.5,23
Enclos du Wine Hunter A.O.C. Bordeaux Blanc 2018,66.9,78.7,4.0,18
Partridge Gran Reserva Mendoza Cabernet Sauvignon 2017,57.35,67.47,4.5,3
Viñedo de los Vientos Tannat 2016,52.64,61.93,3.0,8
Carnivor Zinfandel 2017,94.89,111.64,4.0,17
Val delle Rose Aurelio D.O.C. Maremma Toscana 2016,262.9,309.29,5.0,1
Bear Flag Red Blend 2018,39.9,46.94,4.0,996
A Galet Tinto,25.95,30.53,4.0,5
Fortant de France Terroir d'Altitude Viognier 2017,74.95,88.18,2.0,3
Pérez Cruz Winemakers Selection 2017,45.38,53.38,4.5,2
Baron Philippe de Rothschild Cadet d'Oc Merlot 2017,51.41,60.48,3.0,1
Dark Horse Sauvignon Blanc Lata 375ml,24.9,29.29,4.0,3
Its Wine OClock Carménère 2018,24.91,29.3,4.0,25
Viña C F G Reserva V de C Cabernet Sauvigno 2017,77.06,90.65,4.0,11
Pérez Cruz Limited Edition Cot (Malbec) 2017,89.9,105.76,5.0,1
Pérez Cruz Single Vineyard La Higuera Block 2017,46.79,55.05,5.0,5
WineBox Mundo Tinto,132.8,156.24,,
Espumante Lidio Carraro Faces do Brasil Brut,42.9,50.47,4.5,3
Espumante Chandon Excellence Cuvée Prestige Rosé Brut,147.9,174.0,2.0,1
Espumante Gran Legado Champenoise Vale dos Vinhedos Rosé Brut,53.9,63.41,4.0,2
Dádivas Merlot Cabernet Sauvignon 2018,74.9,88.12,3.5,3
Frisante Miolo Moscatel Rosé,23.9,28.12,,
Lidio Carraro Elos Cabernet Sauvignon Malbec 2013,124.9,146.94,5.0,1
Casa Burmester Reserva D.O.C. Douro Tinto 2016,116.13,136.62,4.5,3
"Espumante Veuve D""Argent Premium Edition Ice Blanc",41.93,49.33,4.5,37
Maison Bouachon Les Rabassières A.O.C Côtes-du-Rhône Blanc 2017,60.0,70.59,3.5,4
Espumante Louis Bouillot Blanc De Noirs Brut,61.74,72.64,4.5,87
Dark Horse The Original California Pinot Noir 2017,54.33,63.92,4.5,8
Canepa Finísimo Gran Reserva Carménère 2018,77.06,90.65,4.0,7
Maycas del Limarí Reserva Especial Syrah 2016,90.37,106.32,4.5,4
Calyptra Vivendo Reserve Pinot Noir 2016,55.93,65.8,3.0,8
Baron Philippe de Rothschild Anderra Cabernet Sauvignon 2017,41.93,49.33,3.5,7
Stave And Steele Syrah 2017,30.94,36.4,4.0,4
Baron Philippe de Rothschild Mas Andes Cabernet Sauvignon 2018,26.02,30.62,4.0,152
Baron Philippe de Rothschild Cadet d'Oc Syrah 2017,51.41,60.48,3.0,1
Chateau Oumsiyat Red Jaspe 2014,101.35,119.23,,
Espumante Faces do Brasil Moscatel,42.9,50.47,,
Casa Perini Rosé 2019,43.9,51.65,,
Dark Horse Brut Bubbles Lata 375ml,24.9,29.29,4.0,6
Dark Horse Rosé Bubbles Lata 375ml,24.9,29.29,4.5,10
N° 11 -  Onze Anos Aniversário Cabernet Sauvignon 2017,49.9,58.71,4.5,15
Frisante Miolo Moscatel Blanc,23.9,28.12,,
Faces de Chile Cabernet Sauvignon 2019,42.9,50.47,,
Lidio Carraro Grande Vindima Tannat 2010,343.94,404.63,2.5,3
Espumante Casa Perini Tradicional,74.9,88.12,,
Espumante Gran Legado Brut,32.9,38.71,4.0,26
V9 Gran Reserva Single Vineyard Cabernet Sauvignon 2017,52.92,62.26,4.5,33
Corello D.O.C. Salice Salentino 2017,32.35,38.05,4.5,42
Faces de Chile Sauvignon Blanc 2019,42.9,50.47,,
Espumante Lidio Carraro Faces do Brasil Rosé Brut,42.9,50.47,4.0,2
Espumante Lidio Carraro Dádivas Moscatel,64.9,76.35,5.0,2
Espumante Casa Perini Brut,46.9,55.18,,
Sinais Cabernet Sauvignon 2018,37.9,44.59,,
Sinais Sauvignon Blanc 2019,37.9,44.59,,
Espumante Jeroboam Chandon Réserve Brut 3 L,390.27,459.14,,
Espumante Chandon Riche Demi-Sec,76.9,90.47,4.5,4
Sinais Malbec Rosé 2019,37.9,44.59,,
Espumante Salton Domenico Giornata 140,69.9,82.24,,
Espumante Lidio Carraro Dádivas Brut,74.9,88.12,,
Salton Desejo 2015,79.9,94.0,4.5,4
Giaretta Tannat 2019,27.9,32.82,,
Giaretta Ancellotta 2019,27.9,32.82,,
Giaretta Merlot 2018,25.9,30.47,,
Espumante Don Guerino Rosé Brut 2019,42.9,50.47,,
Espumante Salton Brut Rosé,32.9,38.71,4.0,7
Espumante Salton Demi Sec,32.9,38.71,4.0,21
Lidio Carraro Faces do Brasil Merlot 2017,39.9,46.94,,
WineBox Dia a Dia,122.45,144.06,,
Espumante Casa Perini Ice Rosé,55.9,65.76,,
Toro Loco Crianza 2015,41.93,49.33,3.5,5
Quinta de Pancas Tinto 2016,54.25,63.82,4.0,10
Espumante Chandon Rosé Brut,85.9,101.06,4.5,14
WineBox Chandon Edição Limitada Celebrações,265.0,311.76,,
Espumante Chandon Réserve Brut Edição Limitada Celebrações,75.9,89.29,3.0,4
Altivo Vineyard Selection La Rioja Torrontés 2016,71.57,84.2,3.5,19
Espumante Don Guerino Brut 2019,42.9,50.47,,
WineBox A Galet,149.9,176.35,,
WineBox Tudo de Bom,,,5.0,1
Espumante Casa Perini Nature,99.9,117.53,,
Espumante Chandon Réserve Brut 375 ml,49.9,58.71,4.0,2
Espumante Miolo Terranova Rosé Brut,43.9,51.65,3.0,1
Casa Perini Cabernet Sauvignon 2018,43.9,51.65,,
Espumante Casa Perini Rosé Brut,44.9,52.82,4.0,1
Espumante Casa Perini Ice Demi-Sec,55.9,65.76,,
Espumante Salton Moscatel,32.9,38.71,4.5,71
Casa Perini Chardonnay 2019,44.9,52.82,,
Espumante Salton Brut,32.9,38.71,4.5,60
Habitat Alta Gama - Lote 4,179.9,211.65,,
Casa Perini Fração Única Cabernet Sauvignon 2016,67.9,79.88,,
Espumante Salton Évidence,57.9,68.12,4.0,14
Espumante Salton Reserva Ouro,44.9,52.82,3.5,18
Casa Perini Solidário Cabernet Sauvignon Merlot 2018,43.9,51.65,,
Espumante Casa Perini Moscatel,44.9,52.82,5.0,10
Infame Reserva Carménère 2018,42.78,50.33,4.0,33
Salton Campanha Marselan Tannat 2016,82.51,97.07,3.5,3
Casa Perini Fração Única Merlot 2016,67.9,79.88,,
Giaretta Cabernet Sauvignon 2018,25.9,30.47,,
WineBox Infame,168.9,198.7,,
Serras De Azeitão Seleção Do Enólogo Tinto 2018,37.74,44.4,3.5,5
Espumante Salton Prosecco Brut,34.9,41.06,4.5,7
Espumante Casa Perini Aquarela Moscatel Rosé,46.9,55.18,5.0,2
Frisante Salton Frizz Prosecco Demi-sec,27.9,32.82,4.0,1
Espumante Chandon Excellence Cuvée Prestige Brut,148.9,175.18,4.0,7
Salton Talento 2015,79.9,94.0,,
Dancing Flame Ojos del Salado Shiraz 2018,25.64,30.16,4.0,89
Beaupont,24.9,29.29,4.0,24
Urmeneta Chardonnay 2019,33.92,39.9,4.0,22
Dancing Flame Ojos del Salado Merlot 2018,25.64,30.16,4.0,63
WineBox Beaupont,94.9,111.64,5.0,1
Viña Carrasco Cabernet Sauvignon 2018,24.58,28.92,4.0,6
WineBox Pérez Cruz,188.38,221.62,,
Nederburg 56 Hundred Pinotage 2018,28.86,33.95,4.0,52
Juan Cristóbal Malbec 2019,26.82,31.55,,
Portas da Herdade Tinto 2018,39.87,46.9,4.0,50
Portas da Herdade Branco 2018,39.87,46.9,4.0,23
Viña Carrasco Merlot 2018,24.58,28.92,4.0,2
Los Pueblos Malbec 2019,31.3,36.82,,
Malizia,25.77,30.32,,
JP Azeitão Seleção do Enólogo Tinto 2018,44.97,52.9,4.0,37
Pérez Cruz Reserva D.O. Valle del Maipo Cabernet Sauvignon 2016,49.95,58.76,4.5,12
Nederburg 56 Hundred Pinot Grigio 2018,28.86,33.95,4.0,24
William Hill Central Coast Merlot 2017,147.82,173.9,,
Edna Valley Central Coast Pinot Noir 2017,165.67,194.9,,
William Hill Central Coast Cabernet Sauvignon 2017,147.82,173.9,,
Nederburg 56 Hundred Sauvignon Blanc 2018,28.86,33.95,4.0,30
WineBox França,110.0,129.41,4.0,1
WineBox Dark Horse Bubbles Lata,79.59,93.64,3.5,4
WineBox Dark Horse Rosé Bubbles Lata,79.59,93.64,,
WineBox Dark Horse Brut Bubbles Lata,79.59,93.64,,
Barahonda Sin-Madera Monastrell 2016,50.96,59.95,4.0,45
OGV Old Garnacha Vines D.O. Calatayud 2016,46.06,54.19,4.0,44
Almaviva EPU 2016 375 ml,212.41,237.4,,
Root: 1 Sauvignon Blanc 2018,37.14,43.69,4.5,20
Almaviva EPU 2015 375 ml,212.41,237.4,,
Pájaro de Buen Agüero D.O.P. Cariñena Tempranillo 2018,83.53,98.27,4.0,47
Campo Al Moro 2016,31.94,37.57,4.0,36
Enclos du Wine Hunter Saint-Emilion Grand Cru 2017,268.52,300.1,,
Pájaro de Buen Agüero D.O.P. Cariñena G 2018,83.53,98.27,4.0,58
W Explorer Series Barahonda D.O. Yecla 2014,55.93,65.8,4.0,17
WineBox Especiais,119.89,141.04,5.0,1
Que Guapo Branco 2018,36.08,42.44,4.0,9
WineBox Vinhos Brancos,164.36,193.36,,
Partridge Selección de Barricas Blend 2015,90.93,106.98,4.5,23
Terralis Syrah Malbec 2018,23.14,27.23,4.0,51
Papa Açorda Colheita Branco 2018,32.27,37.97,3.0,1
Dark Horse The Original Pinot Grigio 2017,48.93,57.56,4.5,11
Carpineto Castaldo D.O.C.G. Chianti 2016,65.37,76.9,5.0,1
Roureda Levante D.O. Tarragona 2017,31.6,37.18,4.0,96
5 Oros Crianza D.O.Ca. Rioja 2014,71.9,84.59,4.5,9
WineBox Magníficos ,62.38,73.38,5.0,1
Quattro Elementos Merlot 2018,24.98,29.38,3.0,17
Quattro Elementos Carménerè 2018,24.98,29.38,3.5,14
Quattro Elementos Syrah 2018,24.98,29.38,3.0,17
Baron Philippe de Rothschild Mas Andes Carménère 2018,26.02,30.62,4.0,133
WineBox Europa x América do Sul,117.36,138.06,,
Enclos du Wine Hunter A.O.C. Bordeaux Rosé 2018,66.9,78.7,4.0,22
San Ceteo Tosca,24.26,28.54,3.0,9
WineBox Tintos para Celebrar,62.38,73.38,4.0,2
WineBox Sua Adega Merece,,,,
Tenuta Sant`Antonio Scaia Bianco 2018,61.53,72.39,4.5,12
Maison Foucher Le Point du Jour A.O.C. Rosé dAnjou 2018,55.37,65.15,,
VIK 2012,875.0,882.35,5.0,7
Almaviva EPU 2016,424.15,449.1,,
WineBox Almaviva Epu 2016,1696.6,1796.4,,
Tenuta Sant`Antonio dei Gigli D.O.C.G. Amarone della Valpolicella 2013,583.01,651.6,,
Beni di Batasiolo Riserva D.O.C.G. Barolo 2010,310.16,346.65,4.5,2
Toro Loco D.O.P. Utiel-Requena Tinto Superior 2018 375 ml,17.61,20.72,,
WineBox Vik A 2016,539.9,635.17,,
Vik A 2016,139.93,164.62,5.0,6
Dark Horse The Original Chardonnay 2017,48.93,57.56,3.5,13
CentAre I.G.P. Terre Siciliane Bianco 2017,42.3,49.76,3.5,8
Infame Reserva Sauvignon Blanc 2018,42.78,50.33,4.5,4
Farizoa 3 Castas tinto 2018,33.22,39.08,4.5,8
Partridge Gran Reserva Mendoza Bonarda 2015,61.05,71.82,4.5,33
WineBox 100% Maravilha,249.9,294.0,,
Esquinas de Argento Viognier 2019,67.06,78.89,4.0,9
Pedro Teixeira Tinto,23.73,27.92,3.5,19
WineBox Pedro Teixeira,131.4,154.59,,
WineBox Encontro Marcado,62.38,73.38,5.0,1
The Applicant Cabernet Sauvignon/Merlot 2018,26.33,30.98,3.5,12
Tormentoso Syrah 2016,59.91,70.48,3.0,22
Finca Constancia Parcela 23 Single Vineyard Tempranillo 2016,51.8,60.94,4.0,14
WineBox Surpreendentes,103.98,122.33,5.0,1
WineBox Juntos e Misturados,,,,
Urmeneta Reserva Carménère 2017,37.45,44.06,4.0,50
Kit 10,,,,
Altivo Vineyard Selection Malbec 2018,42.1,49.53,3.5,30
Fortant de France Terroir Littoral Grenache Rosé 2018,67.92,79.9,4.0,15
Dancing Flame Rose Ojos del Salado 2018,26.45,31.12,4.0,4
Já Pias,20.42,24.02,4.0,2
Espumante Veuve D`Argent Blanc De Blancs Brut,39.53,46.51,4.0,356
WineBox Veuve D'Argent Brut,138.49,162.93,4.5,2
WineBox Veuve D`Argent Blanc De Blancs Brut + Taças,159.9,188.12,1.0,1
WineBox Partiu Praia,145.23,170.86,,
Lievland Vineyards Bush Vine Pinotage 2017,61.13,71.92,4.0,30
WineBox Finca Constância,193.9,228.12,,
Barahonda Barrica Monastrell Syrah 2015,60.41,71.07,,
Pedro Teixeira Colheita Selecionada Bairrada D.O.C 2018,34.9,41.06,4.0,375
Papa Açorda Colheita Tinto 2018,32.27,37.97,4.0,5
Vale da Coruja RL Tinto 2016,32.35,38.05,4.5,15
WineBox Happy Hour,164.0,192.94,,
Root: 1 Reserva Heritage Red 2018,35.94,42.28,4.5,52
Que Guapo Malbec Blend 2017,37.32,43.91,4.0,60
Casillero Reserva Limited Edition Cabernet Sauvignon,44.74,52.63,4.5,197
WineBox Casillero del Diablo,149.0,175.29,5.0,26
WineBox Best Sellers ,169.98,199.98,,
"Espumante Magnum Chandon Rosé Brut 1,5 L",175.9,206.94,,
V9 Gran Reserva Single Vineyard Carménère 2017,52.92,62.26,4.5,24
Champagne Ruinart Rosé 1500 ml,1671.02,1965.9,,
Espumante Chandon Passion Rosé Demi-Sec,100.3,118.0,5.0,16
Mini Champagne Moët & Chandon Brut Impérial 200 Ml,117.12,137.78,,
WineBox Todos os Cantos do Mundo,117.77,138.55,,
Sardelli D.O.C.G. Chianti 2016,36.27,42.67,3.5,119
Champagne Moët & Chandon Impérial Rosé Brut,527.9,621.06,5.0,2
"Espumante Magnum Chandon Réserve Brut  1,5 L",152.07,178.9,4.0,12
Quattro Elementos Cabernet Sauvignon 2018,24.98,29.38,4.0,18
La Piu Belle 2013,401.5,444.71,5.0,18
WineBox Veuve D'Argent Edition Ice Blanc + Taças,159.9,188.12,,
Urmeneta Reserva Cabernet Sauvignon 2018,40.45,47.58,4.0,12
Viña Carrasco Pinot Noir 2018,24.58,28.92,5.0,2
Natana Syrah 2017,34.93,41.09,4.5,20
Champagne Moët & Chandon Impérial Brut 375 ml,216.9,255.18,4.0,1
Château Pey de Pont Cru Bourgeois A.O.C. Médoc 2014,143.65,160.55,,
Ropiteau Pinot Noir 2017,106.69,125.52,,
Chateau Oumsiyat Red Syrah 2015,124.74,146.75,,
Señorío de Ayud Cabernet Sauvignon Syrah 2018,30.96,36.42,4.5,14
Porta Soprana Lambrusco I.G.P. Emilia Rosso Amabile,24.74,29.1,4.5,416
WineBox Italianos,108.0,127.06,,
WineBox Mamãe eu Quero!,94.0,110.59,,
Finca Traversa Cabernet Sauvignon 2018,24.73,29.1,3.0,30
Casillero del Diablo Carmenere 2018,51.9,61.06,2.5,3
WineBox América do Sul,157.0,184.71,,
Fortant de France Terroir Littoral Cabernet Sauvignon 2017,54.33,63.92,3.5,14
Casillero del Diablo Cabernet Sauvignon/Malbec 2018,47.53,55.92,4.5,13
WineBox Clássicos,189.42,222.85,,
Casillero del Diablo Cabernet Sauvignon/Merlot 2018,47.53,55.92,4.5,13
Casillero del Diablo Cabernet Sauvignon/Carmenere 2018,47.53,55.92,4.5,13
Miguel Torres Hemisferio Sur Reserva Carménère 2017,35.22,41.44,4.5,32
Canepa Novísimo Merlot 2018,24.98,29.38,4.5,68
WineBox Os Escolhidos,165.59,194.8,,
Viña Pelequen Cabernet Sauvignon/Carmenere Syrah 2018,26.33,30.98,3.5,2
Santa Helena Reservado Cabernet Sauvignon 2018,29.9,35.18,,
Canepa Novísimo Carménère 2019,27.13,31.92,4.5,5
WineBox Belo Encontro,62.38,73.38,4.5,2
Canepa Novísimo Syrah 2018,25.87,30.43,4.0,49
WineBox Os 4 Poderosos,124.0,146.0,,
Palafitos de Mar Semi Sweet Rosé Cabernet Sauvignon/Syrah 2019,28.97,34.09,4.0,42
WineBox Quarteto Fantástico,103.5,121.78,,
Natana Cuvée Rouge 2017,34.93,41.09,4.0,28
WineBox Vem que é Sucesso,99.88,128.6,,
Espumante Gran Legado Brut Charmat Rosé,32.9,38.71,4.0,15
Espumante Gran Legado Moscatel,32.9,38.71,4.5,10
Champagne Moët & Chandon Nectar Impérial,518.41,609.89,3.5,3
Viña Carrasco Rosé 2018,24.43,28.74,,
Maison Foucher Le Champ Vallin A.O.C. Touraine 2018,55.37,65.15,,
Espumante Jeroboam Chandon Rosé Brut 3 L,591.09,695.4,,
Espumante Chevalier Blanc de Noirs Brut,56.8,66.82,3.5,11
Toro Loco D.O.P. Utiel-Requena Tinto Superior 2018,26.9,31.65,4.5,253
WineBox Lançamentos,129.9,152.82,,
WineBox Lançamentos 10,129.9,152.82,,
WineBox 6 Unidades Toro Loco D.O.P. Utiel-Requena,149.4,175.76,4.5,12
WineBox Velho Mundo,125.0,147.06,,
WineBox Dia a Dia,139.61,164.25,,
Espumante Gran Legado Champenoise Vale dos Vinhedos Brut,53.9,63.41,4.0,4
Terralis Cabernet Merlot 2018,23.14,27.23,4.5,71
WineBox Terralis,43.9,51.64,4.5,2
Castelo dos Mouros Colheita Tinto 2017,29.63,34.86,3.5,3
Dark Horse The Original Cabernet Sauvignon 2017,54.33,63.92,4.0,5
WineBox Mundo Europeu,109.9,129.29,,
Champagne Jacquart Rosé Brut,288.01,338.83,4.0,4
Señorío De Ayud Garnacha Syrah 2018,30.96,36.42,4.0,17
Dark Horse The Original California Sauvignon Blanc 2018,54.33,63.92,5.0,1
WineBox Os 4 Tintos ,118.46,139.37,,
Terrazas de los Andes Altos del Plata Syrah 2018,85.94,101.1,,
Latitud 33° Cabernet Sauvignon 2018,59.43,69.92,4.0,5
W Explorer Series Maison Bouachon A.O.C. Côtes-du-Rhône 2015,38.9,45.76,4.0,20
Espumante Batasiolo Moscato,45.82,53.9,4.5,30
Espumante Marquês de Marialva Baga Extra Brut 2015,74.89,88.1,3.5,8
Beni di Batasiolo Sovrana D.O.C. Barbera d´Alba 2014,42.9,50.47,4.0,41
370 Léguas Reserva D.O.C. Douro 2016,37.32,43.9,4.5,131
L ´Empreinte Cabernet Sauvignon 2018,32.18,37.86,,
Frisante Porta Soprana D.O.C. Lambrusco Salamino di Santa Croce Tinto Amabile Suave,32.9,38.71,4.0,41
Urmeneta Carménère 2018,27.13,31.92,4.0,55
Lafken Artisan Wine Cabernet Sauvignon 2017,173.53,204.15,4.0,4
Lafken Artisan Wine Carménère 2017,173.53,204.15,4.0,5
WineBox Burmerster,204.9,241.06,,
Viña Carrasco Carmenere 2018,24.58,28.92,3.0,1
Espumante Baby Chandon Réserve Brut 187 ml.,26.69,31.4,4.0,14
Burmester D.O.C. Douro Tinto 2016,53.2,62.58,4.0,7
WineBox Excelência,283.83,333.92,,
Portas da Herdade Reserva Tinto 2015,61.9,72.82,4.5,18
Clos de Los Siete By Michel Rolland 2016,79.08,93.04,4.5,264
Bobal deSanjuan Viñas Viejas D.O.P. Utiel-Requena 2016,42.77,50.32,4.0,26
WineBox Lançamentos 2,149.9,176.35,,
Quinta de São João Cuvée RB Tinto 2017,38.04,44.75,4.0,55
WineBox Root:1,102.99,121.16,,
WineBox Adega Cheia,188.06,221.25,5.0,2
Olivier Sumeire Le Rosé De S IGP Méditerranée Rose 2018,56.9,66.94,4.0,4
Mosaiko 2015,39.9,46.94,4.0,16
WineBox Marcante,199.38,234.56,,
Quinta do Cardo D.O.C. Beira Interior Tinto 2016,56.4,66.35,4.5,9
WineBox Quarteto Elétrico,134.0,157.65,,
Nederburg 56 Hundred Merlot 2018.,27.9,32.82,4.0,39
Undurraga Sibaris Black Series Blend 2017,83.53,98.27,4.5,14
Undurraga Sibaris Black Series Cinsault 2018,83.53,98.27,4.5,12
Latitud 33° Malbec 2018,59.43,69.92,4.0,9
Protos D.O. Ribera del Duero Tinto Fino 2017,69.93,82.27,4.0,12
Finca Ventura D.O.P. Jumilla Monastrell 2018,37.7,44.35,1.0,2
Marianne Selena Blend 2015,44.9,52.82,4.0,28
La Mora D.O.C. Maremma Toscana Rosso 2015,49.9,58.71,4.0,57
Protos Rosé 2017,53.9,63.41,3.5,8
Espumante Chandon Réserve Brut,62.9,74.0,4.5,77
WineBox Altivo,159.9,188.12,,
Canepa Famiglia Reserva Cabernet Sauvignon 2017,41.55,48.88,3.5,6
WineBox Boas Escolhas,207.8,244.48,,
"WineBox Só Tinto, Só Top",221.77,260.9,,
WineBox Queridinhos,274.0,323.0,,
Altivo Classic Tempranillo 2018,25.85,30.41,4.0,30
Altivo Classic Cabernet Sauvignon 2018,25.85,30.41,4.0,28
WineBox Quinta de São João,137.9,162.23,4.0,1
