wine,link,pontuação,avaliações,volume
Gallo Signature Series Cabernet Sauvignon 2014,https://wine.com.br/vinhos/gallo-signature-series-cabernet-sauvignon-2014/prod18923.html,,(6),750.00 ml
Barahonda Campo Arriba 2016,https://wine.com.br/vinhos/barahonda-campo-arriba-2016/prod18879.html,,(36),750.00 ml
Carpineto Riserva D.O.C.G. Chianti Classico 2013,https://wine.com.br/vinhos/carpineto-riserva-d-o-c-g-chianti-classico-2013/prod18934.html,,(4),750.00 ml
Bridlewood Monterey County Chardonnay 2015,https://wine.com.br/vinhos/bridlewood-monterey-county-chardonnay-2015/prod18919.html,,(1),750.00 ml
Bodega Navarro Correas Los Arboles Mendoza Cabernet Sauvignon 2017,https://wine.com.br/vinhos/bodega-navarro-correas-los-arboles-mendoza-cabernet-sauvignon-2017/prod18894.html,,(43),750.00 ml
Capitán Tomás Reserva Malbec 2016,https://wine.com.br/vinhos/capitan-tomas-reserva-malbec-2016/prod19033.html,,(19),750.00 ml
JP Azeitão Seleção do Enólogo Tinto 2017,https://wine.com.br/vinhos/jp-azeitao-selecao-do-enologo-tinto-2017/prod18989.html,,(33),750.00 ml
Defesa do Esporão Branco 2016,https://wine.com.br/vinhos/defesa-do-esporao-branco-2016/prod18946.html,,(3),750.00 ml
La Roncaia I.G.T. Delle Venezie Refosco 2015,https://wine.com.br/vinhos/la-roncaia-i-g-t-delle-venezie-refosco-2015/prod19004.html,,(8),750.00 ml
Beni di Batasiolo D.O.C. Langhe Nebbiolo 2016,https://wine.com.br/vinhos/beni-di-batasiolo-d-o-c-langhe-nebbiolo-2016/prod18952.html,,(1),750.00 ml
Beni di Batasiolo D.O.C. Langhe Rosso 2015,https://wine.com.br/vinhos/beni-di-batasiolo-d-o-c-langhe-rosso-2015/prod18953.html,,,750.00 ml
Beni di Batasiolo D.O.C.G. Barolo 2013 375 ml,https://wine.com.br/vinhos/beni-di-batasiolo-d-o-c-g-barolo-2013-375-ml/prod18956.html,,,375.00 ml
Quinta do Portal Grande Reserva D.O.C. Douro 2014,https://wine.com.br/vinhos/quinta-do-portal-grande-reserva-d-o-c-douro-2014/prod18994.html,,(2),750.00 ml
Partridge Reserva Cabernet Sauvignon 2016,https://wine.com.br/vinhos/partridge-reserva-cabernet-sauvignon-2016/prod19037.html,,(21),750.00 ml
Bodegas Viña Vilano Crianza D.O. Ribera del Duero 2013,https://wine.com.br/vinhos/bodegas-vina-vilano-crianza-d-o-ribera-del-duero-2013/prod18612.html,,(4),750.00 ml
Espumante Domaine de Bois Mozé A.O.C. Crémant de Loire Rosé Brut,https://wine.com.br/vinhos/espumante-domaine-de-bois-moze-a-o-c-cremant-de-loire-rose-brut/prod18597.html,,(3),750.00 ml
"Fratelli Dogliani D.O.C. Barbera d'Alba 2014 1,5 L",https://wine.com.br/vinhos/fratelli-dogliani-d-o-c-barbera-d-alba-2014-1-5-l/prod18610.html,,,1.50 L
Espumante Morandé K.O. Secano Interior Brut,https://wine.com.br/vinhos/espumante-morande-k-o-secano-interior-brut/prod18596.html,,(8),750.00 ml
Fortant de France Terroir de Collines Pinot Noir 2016,https://wine.com.br/vinhos/fortant-de-france-terroir-de-collines-pinot-noir-2016/prod18578.html,,,750.00 ml
Espumante Salton Prosecco Brut 2017,https://wine.com.br/vinhos/espumante-salton-prosecco-brut-2017/prod18575.html,,(2),750.00 ml
Espumante Chandon Brut Colors Collection com 2 Taças Exclusivas Verde e Rosa,https://wine.com.br/vinhos/espumante-chandon-brut-colors-collection-com-2-tacas-exclusivas-verde-e-rosa/prod18605.html,,(1),750.00 ml
Las Perdices Reserva Luján de Cuyo Bonarda 2014,https://wine.com.br/vinhos/las-perdices-reserva-lujan-de-cuyo-bonarda-2014/prod18522.html,,,750.00 ml
Espumante Chandon Brut Colors Collection com 2 Taças Exclusivas Amarelo e Roxo,https://wine.com.br/vinhos/espumante-chandon-brut-colors-collection-com-2-tacas-exclusivas-amarelo-e-roxo/prod18606.html,,(1),750.00 ml
Terrazas de los Andes Reserva Mendoza Malbec 2015 375 ml,https://wine.com.br/vinhos/terrazas-de-los-andes-reserva-mendoza-malbec-2015-375-ml/prod18774.html,,,375.00 ml
Pack Espumante Chandon Réserve Brut Colors Collection com 4 garrafas + Balde Verde,https://wine.com.br/vinhos/pack-espumante-chandon-reserve-brut-colors-collection-com-4-garrafas-balde-verde/prod18763.html,,,"
          "
Dent de Lion Winemakers Selection W.O. Western Cape Pinotage 2016,https://wine.com.br/vinhos/dent-de-lion-winemakers-selection-w-o-western-cape-pinotage-2016/prod18777.html,,(28),750.00 ml
Pack Espumante Chandon Réserve Brut Colors Collection com 4 garrafas + Balde Rosa,https://wine.com.br/vinhos/pack-espumante-chandon-reserve-brut-colors-collection-com-4-garrafas-balde-rosa/prod18764.html,,,"
          "
Dent de Lion Winemakers Selection W.O. Western Cape Blend 2015,https://wine.com.br/vinhos/dent-de-lion-winemakers-selection-w-o-western-cape-blend-2015/prod18776.html,,(24),750.00 ml
Pack Espumante Chandon Réserve Brut Colors Collection com 4 garrafas + Balde Salmão,https://wine.com.br/vinhos/pack-espumante-chandon-reserve-brut-colors-collection-com-4-garrafas-balde-salmao/prod18765.html,,,"
          "
Marechal Vin de France Rosé,https://wine.com.br/vinhos/marechal-vin-de-france-rose/prod18834.html,,,750.00 ml
Marechal Collection Rouge,https://wine.com.br/vinhos/marechal-collection-rouge/prod18829.html,,,"
                                                                                                        "
Ernst Loosen Pfalz Pinot Gris 2017,https://wine.com.br/vinhos/ernst-loosen-pfalz-pinot-gris-2017/prod18853.html,,(2),750.00 ml
Las Perdices Reserva Mendoza Pinot Noir 2014,https://wine.com.br/vinhos/las-perdices-reserva-mendoza-pinot-noir-2014/prod18523.html,,(1),750.00 ml
Las Perdices Don Juan Reserva Mendoza 2013,https://wine.com.br/vinhos/las-perdices-don-juan-reserva-mendoza-2013/prod18518.html,,(2),750.00 ml
Terrazas de Los Andes Reserva Mendoza Malbec 2014 375 ml,https://wine.com.br/vinhos/terrazas-de-los-andes-reserva-mendoza-malbec-2014-375-ml/prod18540.html,,,375.00 ml
Manz Dona Fátima Cheleiros Jampal 2015,https://wine.com.br/vinhos/manz-dona-fatima-cheleiros-jampal-2015/prod18500.html,,(2),750.00 ml
Las Perdices Mendoza Viognier 2016,https://wine.com.br/vinhos/las-perdices-mendoza-viognier-2016/prod18520.html,,,750.00 ml
Bodega Barberis Cava Negra Mendoza Malbec 2017 375 ml,https://wine.com.br/vinhos/bodega-barberis-cava-negra-mendoza-malbec-2017-375-ml/prod18512.html,,(1),375.00 ml
Château d`Éternes A.O.C. Saumur Puy Notre Dame 2015,https://wine.com.br/vinhos/chateau-d-eternes-a-o-c-saumur-puy-notre-dame-2015/prod18538.html,,(11),750.00 ml
Terrazas de Los Andes Reserva Mendoza Syrah 2015,https://wine.com.br/vinhos/terrazas-de-los-andes-reserva-mendoza-syrah-2015/prod18537.html,,,750.00 ml
Altos Del Plata Cabernet Sauvignon 2016,https://wine.com.br/vinhos/altos-del-plata-cabernet-sauvignon-2016/prod18532.html,,,750.00 ml
Mas dels Mets D.O. Montsant 2016,https://wine.com.br/vinhos/mas-dels-mets-d-o-montsant-2016/prod18463.html,,(31),750.00 ml
Michel Rolland Val de Flores Mendoza 2011,https://wine.com.br/vinhos/michel-rolland-val-de-flores-mendoza-2011/prod18476.html,,(1),750.00 ml
Michel Rolland Mariflor Pinot Noir 2014,https://wine.com.br/vinhos/michel-rolland-mariflor-pinot-noir-2014/prod18475.html,,,750.00 ml
Bodegas San Valero Origium 1944 Roble D.O.P. Cariñena 2015,https://wine.com.br/vinhos/bodegas-san-valero-origium-1944-roble-d-o-p-carinena-2015/prod18471.html,,(69),750.00 ml
Cruz Andina Reserva D.O. Casablanca Valley Chardonnay 2017,https://wine.com.br/vinhos/cruz-andina-reserva-d-o-casablanca-valley-chardonnay-2017/prod18489.html,,(11),750.00 ml
Frisante Villa Feudale I.G.T. Lambrusco dell'Emilia Bianco Amabile Suave,https://wine.com.br/vinhos/frisante-villa-feudale-i-g-t-lambrusco-dell-emilia-bianco-amabile-suave/prod18481.html,,(1),750.00 ml
Esporão Reserva D.O.C. Alentejo Branco 2016,https://wine.com.br/vinhos/esporao-reserva-d-o-c-alentejo-branco-2016/prod18487.html,,,750.00 ml
Rigal Grand Chêne A.O.C. Cahors Malbec 2014,https://wine.com.br/vinhos/rigal-grand-chene-a-o-c-cahors-malbec-2014/prod18472.html,,(1),750.00 ml
Frisante Villa Feudale I.G.T. Lambrusco dell'Emilia Rosso Amabile Suave,https://wine.com.br/vinhos/frisante-villa-feudale-i-g-t-lambrusco-dell-emilia-rosso-amabile-suave/prod18480.html,,,750.00 ml
Terrazas de los Andes Altos del Plata Mendoza Malbec 2016,https://wine.com.br/vinhos/terrazas-de-los-andes-altos-del-plata-mendoza-malbec-2016/prod18533.html,,,750.00 ml
La Manda Sauvignon Blanc 2017,https://wine.com.br/vinhos/la-manda-sauvignon-blanc-2017/prod18493.html,,,750.00 ml
Château de Brézé Clos Mazurique A.O.P. Saumur 2016,https://wine.com.br/vinhos/chateau-de-breze-clos-mazurique-a-o-p-saumur-2016/prod18536.html,,(8),750.00 ml
Bodega Barberis Cava Negra Mendoza Malbec 2017,https://wine.com.br/vinhos/bodega-barberis-cava-negra-mendoza-malbec-2017/prod18511.html,,(2),750.00 ml
Latitud 33° Cabernet Sauvignon 2016,https://wine.com.br/vinhos/latitud-33-cabernet-sauvignon-2016/prod18534.html,,,750.00 ml
Bodega Barberis Cava Negra Mendoza Chardonnay 2017,https://wine.com.br/vinhos/bodega-barberis-cava-negra-mendoza-chardonnay-2017/prod18516.html,,,750.00 ml
Cuatro Elementos Canelones Merlot 2016,https://wine.com.br/vinhos/cuatro-elementos-canelones-merlot-2016/prod18459.html,,,"
                                                                                                                                                    "
Espumante Chandon Réserve Brut (6+1),https://wine.com.br/vinhos/espumante-chandon-reserve-brut-6-1-/prod18452.html,,(27),750.00 
Bodegas San Valero Sierra de Viento Roble D.O.P. Cariñena 2015,https://wine.com.br/vinhos/bodegas-san-valero-sierra-de-viento-roble-d-o-p-carinena-2015/prod18470.html,,(69),750.00 ml
Nederburg The Brew Master W.O. Western Cape 2015,https://wine.com.br/vinhos/nederburg-the-brew-master-w-o-western-cape-2015/prod18710.html,,(2),750.00 ml
Gallo Family Vineyards Califórnia Cabernet Sauvignon,https://wine.com.br/vinhos/gallo-family-vineyards-california-cabernet-sauvignon/prod18745.html,,(1),750.00 ml
Nederburg The Motorcycle Marvel W.O. Western Cape 2015,https://wine.com.br/vinhos/nederburg-the-motorcycle-marvel-w-o-western-cape-2015/prod18711.html,,(7),750.00 ml
Antigal Aduentus Mediterráneo Mendoza 2013,https://wine.com.br/vinhos/antigal-aduentus-mediterraneo-mendoza-2013/prod18704.html,,,750.00 
Antigal Aduentus Classic Mendoza 2014,https://wine.com.br/vinhos/antigal-aduentus-classic-mendoza-2014/prod18703.html,,(3),750.00 ml
Cheval Des Andes 2013,https://wine.com.br/vinhos/cheval-des-andes-2013/prod18658.html,,,750.00 ml
MAN Family Wines Jan Fiskaal W.O. Coastal Region Merlot 2017,https://wine.com.br/vinhos/man-family-wines-jan-fiskaal-w-o-coastal-region-merlot-2017/prod18629.html,,(49),750.00 ml
Terrazas de los Andes Altos del Plata Mendoza Chardonnay 2016,https://wine.com.br/vinhos/terrazas-de-los-andes-altos-del-plata-mendoza-chardonnay-2016/prod18659.html,,,750.00 ml
Almaraz D.O.Ca. Rioja Viura Chardonnay 2016,https://wine.com.br/vinhos/almaraz-d-o-ca-rioja-viura-chardonnay-2016/prod18626.html,,(5),750.00 ml
Pérez Cruz Winemakers Selection 2015,https://wine.com.br/vinhos/perez-cruz-winemakers-selection-2015/prod18649.html,,(29),750.00 ml
Pérez Cruz Single Vineyard La Higuera Block 2015,https://wine.com.br/vinhos/perez-cruz-single-vineyard-la-higuera-block-2015/prod18650.html,,(36),750.00 ml
Terrazas de los Andes Altos del Plata Mendoza Syrah 2015,https://wine.com.br/vinhos/terrazas-de-los-andes-altos-del-plata-mendoza-syrah-2015/prod18657.html,,,750.00 ml
MAN Family Wines Skaapveld W.O. Coastal Region Shiraz 2017,https://wine.com.br/vinhos/man-family-wines-skaapveld-w-o-coastal-region-shiraz-2017/prod18628.html,,(51),750.00 ml
Pérez Cruz Piedmont Block Cabernet Sauvignon 2015,https://wine.com.br/vinhos/perez-cruz-piedmont-block-cabernet-sauvignon-2015/prod18672.html,,(6),750.00 ml
Pérez Cruz Piedmont Block Carménère 2015,https://wine.com.br/vinhos/perez-cruz-piedmont-block-carmenere-2015/prod18673.html,,(3),750.00 ml
Latitud 33° Mendoza Chardonnay 2016,https://wine.com.br/vinhos/latitud-33-mendoza-chardonnay-2016/prod18660.html,,,750.00 ml
Lo Brujo D.O. Calatayud Macabeo 2016,https://wine.com.br/vinhos/lo-brujo-d-o-calatayud-macabeo-2016/prod18613.html,,(4),750.00 ml
Michel Rolland Mariflor Merlot 2013,https://wine.com.br/vinhos/michel-rolland-mariflor-merlot-2013/prod18576.html,,,750.00 ml
Las Perdices Reserva Albariño 2015,https://wine.com.br/vinhos/las-perdices-reserva-albarino-2015/prod18521.html,,,750.00 ml
Honorio Rubio Tremendus Clarete D.O.Ca. Rioja Viura Garnacha Rosé 2016,https://wine.com.br/vinhos/honorio-rubio-tremendus-clarete-d-o-ca-rioja-viura-garnacha-rose-2016/prod18519.html,,,750.00 ml
Bodegas Lezcano-Lacalle Maudes Crianza D.O. Cigales 2014,https://wine.com.br/vinhos/bodegas-lezcano-lacalle-maudes-crianza-d-o-cigales-2014/prod18614.html,,(10),750.00 ml
Terrazas de Los Andes Reserva Torrontés 2016,https://wine.com.br/vinhos/terrazas-de-los-andes-reserva-torrontes-2016/prod18539.html,,,750.00 ml
Terrazas de Los Andes Reserva Cabernet Sauvignon 2015,https://wine.com.br/vinhos/terrazas-de-los-andes-reserva-cabernet-sauvignon-2015/prod18535.html,,,750.00 ml
Bodega Barberis Cava Negra Mendoza Merlot 2017,https://wine.com.br/vinhos/bodega-barberis-cava-negra-mendoza-merlot-2017/prod18514.html,,,750.00 ml
Quinta Do Portal Muros De Vinha D.O.C. Douro Branco 2016,https://wine.com.br/vinhos/quinta-do-portal-muros-de-vinha-d-o-c-douro-branco-2016/prod18501.html,,,750.00 ml
Las Perdices Mendoza Malbec 2016,https://wine.com.br/vinhos/las-perdices-mendoza-malbec-2016/prod18517.html,,,750.00 ml
Bodega Barberis Finca La Daniela Mendoza Malbec 2016,https://wine.com.br/vinhos/bodega-barberis-finca-la-daniela-mendoza-malbec-2016/prod18515.html,,,750.00 ml
Gérard Bertrand Gran Terroir Pic Saint Loup 2016,https://wine.com.br/vinhos/gerard-bertrand-gran-terroir-pic-saint-loup-2016/prod18418.html,,(2),750.00 ml
Miguel Torres Cordillera de los Andes Reserva Privada Cabernet Sauvignon 2013,https://wine.com.br/vinhos/miguel-torres-cordillera-de-los-andes-reserva-privada-cabernet-sauvignon-2013/prod18407.html,,(8),750.00 ml
Susana Balbo Gran Reserva Malbec 2013,https://wine.com.br/vinhos/susana-balbo-gran-reserva-malbec-2013/prod18414.html,,(8),750.00 ml
Redwood Creek Califórnia Merlot 2016,https://wine.com.br/vinhos/redwood-creek-california-merlot-2016/prod18415.html,,(8),750.00 ml
Miguel Torres Cordillera de los Andes Reserva Privada VIGNO Carignan 2014,https://wine.com.br/vinhos/miguel-torres-cordillera-de-los-andes-reserva-privada-vigno-carignan-2014/prod18408.html,,(5),750.00 ml
Herdade da Farizoa Reserva D.O.C. Alentejo 2014,https://wine.com.br/vinhos/herdade-da-farizoa-reserva-d-o-c-alentejo-2014/prod18335.html,,(2),750.00 ml
Susana Balbo Gran Reserva Mendoza Cabernet Sauvignon 2015,https://wine.com.br/vinhos/susana-balbo-gran-reserva-mendoza-cabernet-sauvignon-2015/prod18413.html,,(6),750.00 ml
Gérard Bertrand Gran Terroir A.O.P. Coteaux du Languedoc Montpeyroux 2015,https://wine.com.br/vinhos/gerard-bertrand-gran-terroir-a-o-p-coteaux-du-languedoc-montpeyroux-2015/prod18419.html,,(3),750.00 ml
Calyptra Gran Reserva D.O. Alto Cachapoal Valley Pinot Noir 2014,https://wine.com.br/vinhos/calyptra-gran-reserva-d-o-alto-cachapoal-valley-pinot-noir-2014/prod18312.html,,(3),750.00 ml
Partridge Flying Chardonnay 2017,https://wine.com.br/vinhos/partridge-flying-chardonnay-2017/prod18247.html,,(8),750.00 ml
Pinhal da Torre 2 Worlds 2012,https://wine.com.br/vinhos/pinhal-da-torre-2-worlds-2012/prod18234.html,,(7),750.00 ml
Que Guapo Malbec Blend 2016,https://wine.com.br/vinhos/que-guapo-malbec-blend-2016/prod18246.html,,(8),750.00 ml
Fratelli Dogliani D.O.C. Dolcetto d'Alba 2016,https://wine.com.br/vinhos/fratelli-dogliani-d-o-c-dolcetto-d-alba-2016/prod18240.html,,,750.00 ml
Fratelli Dogliani D.O.C.G. Barolo 2013 375 ml,https://wine.com.br/vinhos/fratelli-dogliani-d-o-c-g-barolo-2013-375-ml/prod18278.html,,,375.00 ml
Bodega Goulart R Reserva Mendoza Malbec Cabernet Sauvignon 2014,https://wine.com.br/vinhos/bodega-goulart-r-reserva-mendoza-malbec-cabernet-sauvignon-2014/prod18244.html,,(4),750.00 ml
Mixtus Artis Shiraz Malbec 2017,https://wine.com.br/vinhos/mixtus-artis-shiraz-malbec-2017/prod18236.html,,(2),750.00 ml
Salton Classic Tannat 2016,https://wine.com.br/vinhos/salton-classic-tannat-2016/prod18181.html,,(1),750.00 ml
Lagar del Rey D.O. Rueda Verdejo 2016,https://wine.com.br/vinhos/lagar-del-rey-d-o-rueda-verdejo-2016/prod18179.html,,(1),750.00 ml
Baron Philippe de Rothschild La Bélière A.O.C. Bordeaux Rouge 2015 375 ml,https://wine.com.br/vinhos/baron-philippe-de-rothschild-la-beliere-a-o-c-bordeaux-rouge-2015-375-ml/prod18215.html,,,375.00 ml
Salton Classic Cabernet Sauvignon 2016,https://wine.com.br/vinhos/salton-classic-cabernet-sauvignon-2016/prod18180.html,,(2),750.00 ml
Lagarde Altas Cumbres Mendoza Malbec 2016,https://wine.com.br/vinhos/lagarde-altas-cumbres-mendoza-malbec-2016/prod18080.html,,(1),750.00 ml
Manz Rosé 2013,https://wine.com.br/vinhos/manz-rose-2013/prod18063.html,,,750.00 ml
Clair de Cantaussels I.G.P. Pays d'Oc Rosé 2016,https://wine.com.br/vinhos/clair-de-cantaussels-i-g-p-pays-d-oc-rose-2016/prod18115.html,,(6),750.00 ml
Bodega Amalia Dos Fincas Valle de Uco Cabernet Sauvignon Merlot 2014,https://wine.com.br/vinhos/bodega-amalia-dos-fincas-valle-de-uco-cabernet-sauvignon-merlot-2014/prod18108.html,,(1),750.00 ml
Quinta Do Portal Muros De Vinha Douro Rosé 2016,https://wine.com.br/vinhos/quinta-do-portal-muros-de-vinha-douro-rose-2016/prod18109.html,,,750.00 ml
Salton Classic Malbec 2017,https://wine.com.br/vinhos/salton-classic-malbec-2017/prod18079.html,,(1),750.00 ml
Salton Intenso Merlot 2013,https://wine.com.br/vinhos/salton-intenso-merlot-2013/prod18074.html,,,750.00 ml
Miguel Torres Reserva De Pueblo País 2016,https://wine.com.br/vinhos/miguel-torres-reserva-de-pueblo-pais-2016/prod18221.html,,(5),750.00 ml
Miguel Torres Días de Verano Reserva Muscat 2017,https://wine.com.br/vinhos/miguel-torres-dias-de-verano-reserva-muscat-2017/prod18222.html,,(17),750.00 ml
Pueblo Del Sol Reserva Chardonnay 2017,https://wine.com.br/vinhos/pueblo-del-sol-reserva-chardonnay-2017/prod18177.html,,(2),750.00 ml
Salton Talento 2012,https://wine.com.br/vinhos/salton-talento-2012/prod18183.html,,(2),750.00 ml
Salton Desejo 2012,https://wine.com.br/vinhos/salton-desejo-2012/prod18182.html,,(5),750.00 ml
Baron Philippe de Rothschild La Bélière A.O.C. Bordeaux Rosé 2016,https://wine.com.br/vinhos/baron-philippe-de-rothschild-la-beliere-a-o-c-bordeaux-rose-2016/prod18217.html,,(1),750.00 ml
Carpineto Farnito I.G.T. Toscana Cabernet Sauvignon 2012,https://wine.com.br/vinhos/carpineto-farnito-i-g-t-toscana-cabernet-sauvignon-2012/prod18224.html,,(1),750.00 ml
Pueblo Del Sol Reserva Viognier 2017,https://wine.com.br/vinhos/pueblo-del-sol-reserva-viognier-2017/prod18178.html,,(13),750.00 ml
Herdade da Farizoa Grande Reserva D.O.C. Alentejo 2013,https://wine.com.br/vinhos/herdade-da-farizoa-grande-reserva-d-o-c-alentejo-2013/prod18185.html,,(1),750.00 ml
Salton Intenso Cabernet Sauvignon 2014,https://wine.com.br/vinhos/salton-intenso-cabernet-sauvignon-2014/prod18072.html,,(2),750.00 ml
Dádivas Merlot Cabernet Sauvignon 2016,https://wine.com.br/vinhos/dadivas-merlot-cabernet-sauvignon-2016/prod18082.html,,,750.00 ml
Susana Balbo Anubis Mendoza Malbec 2016,https://wine.com.br/vinhos/susana-balbo-anubis-mendoza-malbec-2016/prod18099.html,,,750.00 ml
Louis Latour Cuvée Latour Bourgogne Rouge 2015 375 Ml,https://wine.com.br/vinhos/louis-latour-cuvee-latour-bourgogne-rouge-2015-375-ml/prod18113.html,,,375.00 ml
Quinta Do Portal Muros De Vinha Douro 2015,https://wine.com.br/vinhos/quinta-do-portal-muros-de-vinha-douro-2015/prod18110.html,,(3),750.00 ml
Yellow Tail Cabernet Sauvignon 2016,https://wine.com.br/vinhos/yellow-tail-cabernet-sauvignon-2016/prod18102.html,,,750.00 ml
Tarapacá Gran Reserva Cabernet Sauvignon 2015,https://wine.com.br/vinhos/tarapaca-gran-reserva-cabernet-sauvignon-2015/prod18104.html,,,750.00 ml
Lagarde Altas Cumbres Mendoza Malbec 2016 375 ml,https://wine.com.br/vinhos/lagarde-altas-cumbres-mendoza-malbec-2016-375-ml/prod18112.html,,,375.00 ml
Viñedo De Los Vientos Tannat  2014,https://wine.com.br/vinhos/vinedo-de-los-vientos-tannat-2014/prod18117.html,,,750.00 ml
Marianne Floreal 2015,https://wine.com.br/vinhos/marianne-floreal-2015/prod18405.html,,(4),750.00 ml
Monte Velho Tinto 2016 375 ml,https://wine.com.br/vinhos/monte-velho-tinto-2016-375-ml/prod18486.html,,(1),375.00 ml
Fortant de France Terroir de Collines Cabernet Sauvignon 2015,https://wine.com.br/vinhos/fortant-de-france-terroir-de-collines-cabernet-sauvignon-2015/prod18469.html,,,750.00 ml
Monte Velho Tinto 2016,https://wine.com.br/vinhos/monte-velho-tinto-2016/prod18485.html,,(4),750.00 ml
La Manda Carménère 2017,https://wine.com.br/vinhos/la-manda-carmenere-2017/prod18492.html,,(3),750.00 ml
OGV Old Garnacha Vines Barrica D.O. Calatayud 2016,https://wine.com.br/vinhos/ogv-old-garnacha-vines-barrica-d-o-calatayud-2016/prod18453.html,,(21),750.00 ml
Tenuta Sant'Antonio Campo dei Gigli D.O.C.G. Amarone della Valpolicella 2012,https://wine.com.br/vinhos/tenuta-sant-antonio-campo-dei-gigli-d-o-c-g-amarone-della-valpolicella-2012/prod18403.html,,,750.00 ml
Bodega Goulart M The Marshall Reserva Mendoza Malbec 2014,https://wine.com.br/vinhos/bodega-goulart-m-the-marshall-reserva-mendoza-malbec-2014/prod18406.html,,(1),750.00 ml
Almaviva EPU 2014 375 ml,https://wine.com.br/vinhos/almaviva-epu-2014-375-ml/prod18404.html,,(1),375.00 ml
Calyptra Gran Reserva D.O. Alto Cachapoal Valley Sauvignon Blanc 2014,https://wine.com.br/vinhos/calyptra-gran-reserva-d-o-alto-cachapoal-valley-sauvignon-blanc-2014/prod18314.html,,(2),750.00 ml
Calyptra Gran Reserva D.O. Alto Cachapoal Valley Cabernet Sauvignon 2014,https://wine.com.br/vinhos/calyptra-gran-reserva-d-o-alto-cachapoal-valley-cabernet-sauvignon-2014/prod18304.html,,(4),750.00 ml
Calyptra Gran Reserva D.O. Alto Cachapoal Valley Chardonnay 2014,https://wine.com.br/vinhos/calyptra-gran-reserva-d-o-alto-cachapoal-valley-chardonnay-2014/prod18307.html,,(2),750.00 ml
Viñedo de los Vientos Anarkia Tannat 2016,https://wine.com.br/vinhos/vinedo-de-los-vientos-anarkia-tannat-2016/prod18333.html,,(15),750.00 ml
Calyptra Vivendo Reserve D.O. Alto Cachapoal Valley Sauvignon Blanc 2016,https://wine.com.br/vinhos/calyptra-vivendo-reserve-d-o-alto-cachapoal-valley-sauvignon-blanc-2016/prod18317.html,,(2),750.00 ml
Goulart W D.O.C. Mendoza Cabernet Sauvignon 2015,https://wine.com.br/vinhos/goulart-w-d-o-c-mendoza-cabernet-sauvignon-2015/prod18243.html,,(4),750.00 ml
Goulart W D.O.C. Mendoza Malbec 2015,https://wine.com.br/vinhos/goulart-w-d-o-c-mendoza-malbec-2015/prod18242.html,,(4),750.00 ml
Goulart B Black Legion Special Blend - Old Vines 2014,https://wine.com.br/vinhos/goulart-b-black-legion-special-blend-old-vines-2014/prod18241.html,,(1),750.00 ml
Quinta de São João Cuvée RB Branco 2016,https://wine.com.br/vinhos/quinta-de-sao-joao-cuvee-rb-branco-2016/prod18235.html,,(4),750.00 ml
Ventisquero Clásico Chardonnay 2017,https://wine.com.br/vinhos/ventisquero-clasico-chardonnay-2017/prod18097.html,,,750.00 ml
Rapariga Da Quinta Colheita Selecionada Tinto 2016,https://wine.com.br/vinhos/rapariga-da-quinta-colheita-selecionada-tinto-2016/prod18103.html,,,750.00 ml
Luccarelli Old Vines D.O.P. Primitivo Di Manduria 2013,https://wine.com.br/vinhos/luccarelli-old-vines-d-o-p-primitivo-di-manduria-2013/prod18096.html,,,750.00 ml
Manz Pomar Do Espirito Santo Cheleiros Tinto 2012,https://wine.com.br/vinhos/manz-pomar-do-espirito-santo-cheleiros-tinto-2012/prod18061.html,,,750.00 ml
Susana Balbo BenMarco Valle de Uco Malbec 2015,https://wine.com.br/vinhos/susana-balbo-benmarco-valle-de-uco-malbec-2015/prod18098.html,,,750.00 ml
Clair de Cantaussels I.G.P. Pays d¿Oc Sauvignon Blanc 2016,https://wine.com.br/vinhos/clair-de-cantaussels-i-g-p-pays-d-oc-sauvignon-blanc-2016/prod18116.html,,(1),750.00 ml
San Polo D.O.C.G. Brunello Di Montalcino 2012,https://wine.com.br/vinhos/san-polo-d-o-c-g-brunello-di-montalcino-2012/prod18114.html,,,750.00 ml
Trapiche Astica Merlot Malbec 2017,https://wine.com.br/vinhos/trapiche-astica-merlot-malbec-2017/prod18083.html,,(1),750.00 ml
Salton Intenso Merlot e Tannat 2015,https://wine.com.br/vinhos/salton-intenso-merlot-e-tannat-2015/prod18073.html,,(4),750.00 ml
Salton Septimum 2012,https://wine.com.br/vinhos/salton-septimum-2012/prod17988.html,,(3),750.00 ml
Altos de José Ignacio Reserva Tannat 2015,https://wine.com.br/vinhos/altos-de-jose-ignacio-reserva-tannat-2015/prod18037.html,,(69),750.00 ml
Beni di Batasiolo D.O.C.G. Barbaresco 2014,https://wine.com.br/vinhos/beni-di-batasiolo-d-o-c-g-barbaresco-2014/prod18032.html,,(6),750.00 ml
Calyptra Vivendo Reserva Assemblage D.O. Valle de Alto Cachapoal 2013,https://wine.com.br/vinhos/calyptra-vivendo-reserva-assemblage-d-o-valle-de-alto-cachapoal-2013/prod18020.html,,(4),750.00 ml
Corello I.G.T. Terre Siciliane Nero d'Avola 2016,https://wine.com.br/vinhos/corello-i-g-t-terre-siciliane-nero-d-avola-2016/prod18022.html,,(53),750.00 ml
William Hill Central Coast Merlot 2014,https://wine.com.br/vinhos/william-hill-central-coast-merlot-2014/prod18045.html,,(2),750.00 ml
