wine,link,pontuação,avaliações,volume
Santa Helena Reservado Sauvignon Blanc 2018,https://wine.com.br/vinhos/santa-helena-reservado-sauvignon-blanc-2018/prod23005.html,,,750.00 ml
Dark Horse The Original California Sauvignon Blanc 2018,https://wine.com.br/vinhos/dark-horse-the-original-california-sauvignon-blanc-2018/prod22840.html,,(1),750.00 ml
Sovento Sauvignon Blanc 2018,https://wine.com.br/vinhos/sovento-sauvignon-blanc-2018/prod22855.html,,(5),750.00 ml
Finca Ventura D.O.P. Jumilla Monastrell 2018,https://wine.com.br/vinhos/finca-ventura-d-o-p-jumilla-monastrell-2018/prod22820.html,,(2),750.00 ml
Alfacinha RL 2018,https://wine.com.br/vinhos/alfacinha-rl-2018/prod22900.html,,(66),750.00 ml
Salton Classic Chardonnay 2016,https://wine.com.br/vinhos/salton-classic-chardonnay-2016/prod22863.html,,(4),750.00 ml
Estrella de Pascua Sauvignon Blanc 2019,https://wine.com.br/vinhos/estrella-de-pascua-sauvignon-blanc-2019/prod22848.html,,,750.00 ml
Família Toro Loco,https://wine.com.br/vinhos/familia-toro-loco/prod22872.html,,,"
                                                                                                                                                    "
Alfacinha RL Branco 2018,https://wine.com.br/vinhos/alfacinha-rl-branco-2018/prod22901.html,,(24),750.00 ml
Terrazas de Los Andes Single Vineyard Las Compuertas Malbec 2014,https://wine.com.br/vinhos/terrazas-de-los-andes-single-vineyard-las-compuertas-malbec-2014/prod22926.html,,,750.00 ml
Miguel Torres Reserva Ancestral Blend 2015,https://wine.com.br/vinhos/miguel-torres-reserva-ancestral-blend-2015/prod22622.html,,(8),750.00 ml
Carpineto Dogajolo I.G.T. Toscano Rosso 2017,https://wine.com.br/vinhos/carpineto-dogajolo-i-g-t-toscano-rosso-2017/prod22657.html,,(6),750.00 ml
La Chamiza Malbec 2018,https://wine.com.br/vinhos/la-chamiza-malbec-2018/prod22632.html,,(19),750.00 ml
Calyptra Vivendo Reserve Assemblage 2016,https://wine.com.br/vinhos/calyptra-vivendo-reserve-assemblage-2016/prod22659.html,,(3),750.00 ml
Partridge Flying Cabernet Sauvignon 2018,https://wine.com.br/vinhos/partridge-flying-cabernet-sauvignon-2018/prod22645.html,,(32),750.00 ml
Miguel Torres Gran Reserva Chardonnay 2017,https://wine.com.br/vinhos/miguel-torres-gran-reserva-chardonnay-2017/prod22649.html,,(11),750.00 ml
Miguel Torres Reserva Ancestral Carmenére 2015,https://wine.com.br/vinhos/miguel-torres-reserva-ancestral-carmenere-2015/prod22623.html,,(19),750.00 ml
Calyptra Inédito Limited Edition 2015,https://wine.com.br/vinhos/calyptra-inedito-limited-edition-2015/prod22658.html,,(13),750.00 ml
Kit para revista 1,https://wine.com.br/vinhos/kit-para-revista-1/prod22642.html,,,"
                                                                                                                                                    "
La Combe D´Or Cabernet Sauvignon 2018,https://wine.com.br/vinhos/la-combe-d-or-cabernet-sauvignon-2018/prod22975.html,,,750.00 ml
San Ceteo Turandot 2018,https://wine.com.br/vinhos/san-ceteo-turandot-2018/prod22996.html,,(3),750.00 ml
Espumante Fantinel Prosecco One & Only DOC Brut 2018,https://wine.com.br/vinhos/espumante-fantinel-prosecco-one-only-doc-brut-2018/prod22961.html,,(9),750.00 ml
Seremos Malbec 2019,https://wine.com.br/vinhos/seremos-malbec-2019/prod22950.html,,(11),750.00 ml
Trapiche Vineyards Malbec 2018,https://wine.com.br/vinhos/trapiche-vineyards-malbec-2018/prod23011.html,,,750.00 ml
Casal Garcia D.O.C. Douro Tinto 2017,https://wine.com.br/vinhos/casal-garcia-d-o-c-douro-tinto-2017/prod23009.html,,,750.00 ml
Lidio Carraro Dádivas Chardonnay 2017,https://wine.com.br/vinhos/lidio-carraro-dadivas-chardonnay-2017/prod23031.html,,(1),750.00 ml
Miolo Cuvée Giuseppe Merlot Cabernet Sauvignon 2017,https://wine.com.br/vinhos/miolo-cuvee-giuseppe-merlot-cabernet-sauvignon-2017/prod23021.html,,,750.00 ml
Seremos Chardonnay 2019,https://wine.com.br/vinhos/seremos-chardonnay-2019/prod22949.html,,(7),750.00 ml
Champagne Montaudon Brut,https://wine.com.br/vinhos/champagne-montaudon-brut/prod3170.html,,(155),750.00 ml
Chateau Oumsiyat Red Syrah 2015,https://wine.com.br/vinhos/chateau-oumsiyat-red-syrah-2015/prod22892.html,,,750.00 ml
Canepa Novísimo Cabernet Sauvignon 2017,https://wine.com.br/vinhos/canepa-novisimo-cabernet-sauvignon-2017/prod19252.html,,(18),750.00 ml
Frisante Porta Soprana Lambrusco I.G.P. Emilia Branco Amabile Suave,https://wine.com.br/vinhos/frisante-porta-soprana-lambrusco-i-g-p-emilia-branco-amabile-suave/prod6944.html,,(213),750.00 ml
Maison Le Star Rosé On Ice,https://wine.com.br/vinhos/maison-le-star-rose-on-ice/prod18479.html,,(26),750.00 ml
Gérard Bertrand Grand Terroir A.O.P. Les Aspres 2015,https://wine.com.br/vinhos/gerard-bertrand-grand-terroir-a-o-p-les-aspres-2015/prod19395.html,,(2),750.00 ml
Punta Paramo Malbec 2018,https://wine.com.br/vinhos/punta-paramo-malbec-2018/prod20965.html,,(7),750.00 ml
Estrella de Pascua Syrah 2018,https://wine.com.br/vinhos/estrella-de-pascua-syrah-2018/prod22912.html,,,"
                                      "
Desafinado DOC Douro 2017,https://wine.com.br/vinhos/desafinado-doc-douro-2017/prod22902.html,,(20),750.00 ml
Fantinel Borgo Tesis Doc Grave Cabernet Sauvignon Friuli 2017,https://wine.com.br/vinhos/fantinel-borgo-tesis-doc-grave-cabernet-sauvignon-friuli-2017/prod22958.html,,(1),750.00 ml
La Combe D´Or Sauvignon Blanc 2018,https://wine.com.br/vinhos/la-combe-d-or-sauvignon-blanc-2018/prod22978.html,,(3),750.00 ml
Bouquet Merlot 2018,https://wine.com.br/vinhos/bouquet-merlot-2018/prod22971.html,,(8),750.00 ml
Casal Garcia D.O.C. Vinho Verde Rosé,https://wine.com.br/vinhos/casal-garcia-d-o-c-vinho-verde-rose/prod23008.html,,,750.00 ml
Casa Valduga Terroir Merlot 2015,https://wine.com.br/vinhos/casa-valduga-terroir-merlot-2015/prod23028.html,,,750.00 ml
Chateau Souverain Rosé 2017,https://wine.com.br/vinhos/chateau-souverain-rose-2017/prod23016.html,,(40),750.00 ml
Seremos Sauvignon Blanc 2019,https://wine.com.br/vinhos/seremos-sauvignon-blanc-2019/prod22952.html,,(3),750.00 ml
Quinta de Bons-Ventos Branco 2018,https://wine.com.br/vinhos/quinta-de-bons-ventos-branco-2018/prod23015.html,,,750.00 ml
Espumante JP Reserva Bruto Blanc de Noir 2016,https://wine.com.br/vinhos/espumante-jp-reserva-bruto-blanc-de-noir-2016/prod22634.html,,(22),750.00 ml
Champagne Veuve Clicquot Brut 1500 ml,https://wine.com.br/vinhos/champagne-veuve-clicquot-brut-1500-ml/prod22706.html,,,1.50 L
Champagne Veuve Clicquot Rosé Brut com Caixa Call,https://wine.com.br/vinhos/champagne-veuve-clicquot-rose-brut-com-caixa-call/prod22710.html,,,750.00 ml
Champagne Veuve Clicquot Rosé Brut com Couture Box,https://wine.com.br/vinhos/champagne-veuve-clicquot-rose-brut-com-couture-box/prod22709.html,,,750.00 ml
"Champagne Moët & Chandon Impérial Rosé Brut Magnum 1,5 L com Love Case",https://wine.com.br/vinhos/champagne-moet-chandon-imperial-rose-brut-magnum-1-5-l-com-love-case/prod22703.html,,,1500.00 ml
Mad Chief Cabernet Sauvignon 2018,https://wine.com.br/vinhos/mad-chief-cabernet-sauvignon-2018/prod22728.html,,(36),750.00 ml
